"participant","seed","sort","image","final_img_pos","posX","posY"
"206",6,"Sort2","F17calm_o","[-500.  224.]",-500,224
"206",6,"Sort2","M02ang_c","[ 644.  -74.]",644,-74
"206",6,"Sort2","F10disg_o","[ 644. -372.]",644,-372
"206",6,"Sort2","M08fear_o","[  72.  373.]",72,373
"206",6,"Sort2","M12hap_o","[-643.   75.]",-643,75
"206",6,"Sort2","F04ang_o","[ 358. -372.]",358,-372
"206",6,"Sort2","M15surp_o","[ 215.  224.]",215,224
"206",6,"Sort2","F01fear_c","[ 501.  373.]",501,373
"206",6,"Sort2","M17sad_o","[ 358.  -74.]",358,-74
"206",6,"Sort2","M03calm_c","[ 644.  224.]",644,224
"207",7,"Practice","bird","[-71.  75.]",-71,75
"207",7,"Practice","squirrel","[ 72.  75.]",72,75
"207",7,"Practice","car","[-214. -223.]",-214,-223
"207",7,"Practice","bus","[-357. -372.]",-357,-372
"207",7,"Practice","table","[ 501.  224.]",501,224
"207",7,"Sort1","M07hap_c","[-500.  224.]",-500,224
"207",7,"Sort1","M07exc_o","[ 644.  373.]",644,373
"207",7,"Sort1","M07disg_o","[ 501.  -74.]",501,-74
"207",7,"Sort1","M07ang_c","[ 358.  -74.]",358,-74
"207",7,"Sort1","M07exc_c","[-643.   75.]",-643,75
"207",7,"Sort1","M07calm_c","[-214. -223.]",-214,-223
"207",7,"Sort1","M07sad_o","[  72.  373.]",72,373
"207",7,"Sort1","M07calm_o","[ 644.  224.]",644,224
"207",7,"Sort1","M07surp_o","[-643.  224.]",-643,224
"207",7,"Sort1","M07sad_c","[ -71.  373.]",-71,373
"207",7,"Sort1","M07fear_c","[ 501.  373.]",501,373
"207",7,"Sort1","M07ang_o","[ 358. -223.]",358,-223
"207",7,"Sort1","M07hap_o","[-500.   75.]",-500,75
"207",7,"Sort1","M07neut_o","[ -71. -372.]",-71,-372
"207",7,"Sort1","M07neut_c","[-214. -372.]",-214,-372
"207",7,"Sort1","M07fear_o","[ -71.  224.]",-71,224
"207",7,"Sort1","M07disg_c","[-643. -372.]",-643,-372
"207",7,"Sort1","M07surp_c","[ -71. -223.]",-71,-223
"207",7,"Sort2","M05exc_c","[ -71.  373.]",-71,373
"207",7,"Sort2","M03calm_c","[ -71.  224.]",-71,224
"207",7,"Sort2","M12hap_o","[-357. -223.]",-357,-223
"207",7,"Sort2","F17calm_o","[  72.  224.]",72,224
"207",7,"Sort2","F10disg_o","[ 501. -223.]",501,-223
