"Subj","Word_Category","Order","Word","Exclude","word_fix","temp_combo","duplicate"
127,"Animal",6,"dragon",0,"dragon","127 dragon",0
127,"Animal",7,"stegosaurus",0,"stegosaurus","127 stegosaurus",0
127,"Animal",8,"oxen",0,"oxen","127 oxen",0
127,"Animal",9,"grizzlybear",0,"grizzlybear","127 grizzlybear",0
127,"Animal",10,"blackbear",0,"blackbear","127 blackbear",0
127,"Animal",11,"woollybear",0,"woollybear","127 woollybear",0
127,"Animal",12,"woollymammoth",0,"woollymammoth","127 woollymammoth",0
127,"Animal",13,"woollyrhino",0,"woollyrhino","127 woollyrhino",0
127,"Emotion",1,"mad",0,"mad","127 mad",0
127,"Emotion",2,"sad",0,"sad","127 sad",0
127,"Emotion",3,"happy",0,"happy","127 happy",0
127,"Emotion",4,"scared",0,"scared","127 scared",0
128,"Animal",1,"lion",0,"lion","128 lion",0
128,"Animal",2,"tiger",0,"tiger","128 tiger",0
128,"Animal",3,"cheetah",0,"cheetah","128 cheetah",0
128,"Animal",4,"wolf",0,"wolf","128 wolf",0
128,"Animal",5,"somethingwolf",0,"somethingwolf","128 somethingwolf",0
128,"Animal",6,"giraffe",0,"giraffe","128 giraffe",0
128,"Animal",7,"zebra",0,"zebra","128 zebra",0
128,"Animal",8,"cat",0,"cat","128 cat",0
128,"Animal",9,"dog",0,"dog","128 dog",0
128,"Animal",10,"rabbit",0,"rabbit","128 rabbit",0
128,"Animal",11,"fish",0,"fish","128 fish",0
128,"Emotion",1,"disgust",0,"disgusted","128 disgusted",0
128,"Emotion",2,"happy",0,"happy","128 happy",0
128,"Emotion",3,"mad",0,"mad","128 mad",0
128,"Emotion",4,"sad",0,"sad","128 sad",0
129,"Animal",1,"monkey",0,"monkey","129 monkey",0
129,"Animal",2,"bird",0,"bird","129 bird",0
129,"Animal",3,"rabbit",0,"rabbit","129 rabbit",0
129,"Animal",4,"frog",0,"frog","129 frog",0
129,"Animal",5,"cat",0,"cat","129 cat",0
129,"Emotion",1,"sad",0,"sad","129 sad",0
129,"Emotion",2,"happy",0,"happy","129 happy",0
129,"Emotion",3,"scared",0,"scared","129 scared",0
129,"Emotion",5,"mean",0,"mean","129 mean",0
129,"Emotion",6,"excited",0,"excited","129 excited",0
130,"Animal",1,"cheetah",0,"cheetah","130 cheetah",0
130,"Animal",2,"cat",0,"cat","130 cat",0
130,"Animal",3,"dog",0,"dog","130 dog",0
130,"Animal",4,"bird",0,"bird","130 bird",0
130,"Animal",5,"lion",0,"lion","130 lion",0
130,"Animal",6,"horse",0,"horse","130 horse",0
130,"Animal",7,"penguin",0,"penguin","130 penguin",0
130,"Animal",8,"fish",0,"fish","130 fish",0
130,"Animal",9,"dolphin",0,"dolphin","130 dolphin",0
130,"Emotion",1,"sad",0,"sad","130 sad",0
130,"Emotion",2,"happy",0,"happy","130 happy",0
130,"Emotion",3,"excited",0,"excited","130 excited",0
130,"Emotion",4,"mad",0,"mad","130 mad",0
131,"Animal",1,"chicken",0,"chicken","131 chicken",0
131,"Animal",2,"cow",0,"cow","131 cow",0
131,"Animal",3,"dog",0,"dog","131 dog",0
131,"Animal",4,"cat",0,"cat","131 cat",0
131,"Animal",5,"pig",0,"pig","131 pig",0
131,"Animal",6,"bird",0,"bird","131 bird",0
131,"Animal",7,"human",0,"human","131 human",0
131,"Animal",8,"bull",0,"bull","131 bull",0
131,"Animal",9,"giraffe",0,"giraffe","131 giraffe",0
131,"Animal",10,"zebra",0,"zebra","131 zebra",0
131,"Animal",11,"lion",0,"lion","131 lion",0
131,"Animal",12,"tiger",0,"tiger","131 tiger",0
131,"Animal",13,"sloth",0,"sloth","131 sloth",0
131,"Animal",14,"elephant",0,"elephant","131 elephant",0
131,"Animal",15,"fish",0,"fish","131 fish",0
131,"Animal",16,"shark",0,"shark","131 shark",0
131,"Emotion",1,"mad",0,"mad","131 mad",0
131,"Emotion",2,"happy",0,"happy","131 happy",0
131,"Emotion",3,"sad",0,"sad","131 sad",0
132,"Animal",1,"bunny",0,"bunny","132 bunny",0
132,"Animal",2,"parrot",0,"parrot","132 parrot",0
132,"Animal",3,"horse",0,"horse","132 horse",0
132,"Animal",4,"grasshopper",0,"grasshopper","132 grasshopper",0
132,"Animal",5,"frog",0,"frog","132 frog",0
132,"Emotion",1,"sad",0,"sad","132 sad",0
