"participant","seed","sort","image","final_img_pos","posX","posY"
"186",186,"Sort1","M07calm_o","[  72. -223.]",72,-223
"186",186,"Sort1","M07fear_o","[-500. -372.]",-500,-372
"186",186,"Sort1","M07sad_o","[-214.   75.]",-214,75
"186",186,"Sort1","M07surp_o","[ 358.   75.]",358,75
"186",186,"Sort1","M07disg_c","[-643.   75.]",-643,75
"186",186,"Sort1","M07sad_c","[-214. -223.]",-214,-223
"186",186,"Sort1","M07hap_c","[ 644. -223.]",644,-223
"186",186,"Sort1","M07neut_c","[  72.  224.]",72,224
"186",186,"Sort1","M07fear_c","[ 644.   75.]",644,75
"186",186,"Sort1","M07disg_o","[-643.  224.]",-643,224
"186",186,"Sort1","M07neut_o","[ 72. -74.]",72,-74
"186",186,"Sort1","M07ang_c","[-500.  373.]",-500,373
"186",186,"Sort2","F04ang_o","[-643. -372.]",-643,-372
"186",186,"Sort2","M04disg_c","[-643.   75.]",-643,75
"186",186,"Sort2","F10disg_o","[-500. -372.]",-500,-372
"186",186,"Sort2","M03calm_c","[ 644.  373.]",644,373
"186",186,"Sort2","M08fear_o","[ 644. -372.]",644,-372
"186",186,"Sort2","F15hap_c","[ -71.  373.]",-71,373
"186",186,"Sort2","M14neut_o","[ 644.  224.]",644,224
"186",186,"Sort2","F13exc_o","[  72. -372.]",72,-372
"186",186,"Sort2","M17sad_o","[-357.  -74.]",-357,-74
"186",186,"Sort2","M15surp_o","[ 644. -223.]",644,-223
"186",186,"Sort2","F07neut_c","[ 215.   75.]",215,75
"186",186,"Sort2","F22sad_c","[ 501. -372.]",501,-372
"186",186,"Sort2","M05exc_c","[  72.  373.]",72,373
"186",186,"Sort2","F14surp_c","[ 501. -223.]",501,-223
"186",186,"Sort2","M02ang_c","[-500.  373.]",-500,373
"186",186,"Sort2","M12hap_o","[ 215.  373.]",215,373
"186",186,"Sort2","F01fear_c","[ 644.   75.]",644,75
"186",186,"Sort2","F17calm_o","[ 215.  224.]",215,224
