"sample_index","age_bin","age_group","sort","sort_name","N","average_dist","ci_dist"
28,"4 to 5","kids","Sort2","Different Individuals",33,0.0146477958942355,0.0360125386909443
28,"5 to 6","kids","Sort1","Same Individual",28,0.0556825638265155,0.0505828197176217
28,"5 to 6","kids","Sort2","Different Individuals",28,0.0497457229320864,0.0373601355813925
28,"6 to 7","kids","Sort1","Same Individual",23,0.085479573046977,0.0475394663648918
28,"6 to 7","kids","Sort2","Different Individuals",23,0.131613895872807,0.0413038076546569
28,"adults","adults","Sort1","Same Individual",40,0.190249907452376,0.033020488135797
28,"adults","adults","Sort2","Different Individuals",40,0.202617048890748,0.0363776311453598
29,"3 to 4","kids","Sort1","Same Individual",21,0.0296306277268008,0.0390111811677221
29,"3 to 4","kids","Sort2","Different Individuals",21,-0.0182628149522893,0.0411536505971016
29,"4 to 5","kids","Sort1","Same Individual",34,0.0146342957339932,0.0456375969852922
29,"4 to 5","kids","Sort2","Different Individuals",33,0.00648965065636007,0.0347121148472072
29,"5 to 6","kids","Sort1","Same Individual",28,0.0921747425785554,0.0432885587702624
29,"5 to 6","kids","Sort2","Different Individuals",28,0.0640464793284265,0.0330313949392359
29,"6 to 7","kids","Sort1","Same Individual",23,0.0641100016353345,0.0471364821008624
29,"6 to 7","kids","Sort2","Different Individuals",23,0.130973053122793,0.044529143304571
29,"adults","adults","Sort1","Same Individual",40,0.169159938726112,0.029769938283222
29,"adults","adults","Sort2","Different Individuals",40,0.232473912275067,0.0351824331950351
30,"3 to 4","kids","Sort1","Same Individual",21,0.0212255412608736,0.0499109999076164
30,"3 to 4","kids","Sort2","Different Individuals",21,0.0110703277969195,0.0398896767366892
30,"4 to 5","kids","Sort1","Same Individual",34,0.0276387553672629,0.0481508823698674
30,"4 to 5","kids","Sort2","Different Individuals",33,0.00766773395952299,0.0336156101778562
30,"5 to 6","kids","Sort1","Same Individual",28,0.0690983072622923,0.0475141491683721
30,"5 to 6","kids","Sort2","Different Individuals",28,0.0575502618810775,0.0460049364015277
30,"6 to 7","kids","Sort1","Same Individual",23,0.0779910037848296,0.0385646140385032
30,"6 to 7","kids","Sort2","Different Individuals",23,0.088458875024656,0.0425868737223148
30,"adults","adults","Sort1","Same Individual",40,0.189115108978494,0.0314441030886472
30,"adults","adults","Sort2","Different Individuals",40,0.215383026888834,0.0351936522884577
31,"3 to 4","kids","Sort1","Same Individual",21,0.0168825511701396,0.0422927583368943
31,"3 to 4","kids","Sort2","Different Individuals",21,-0.0120316710242253,0.0303368753102531
31,"4 to 5","kids","Sort1","Same Individual",34,0.0198827188360864,0.0359246085368366
31,"4 to 5","kids","Sort2","Different Individuals",33,0.0209622748499427,0.0357565695930195
31,"5 to 6","kids","Sort1","Same Individual",28,0.0946168425523587,0.0516859555622808
31,"5 to 6","kids","Sort2","Different Individuals",28,0.0458808884906104,0.0365704401816675
31,"6 to 7","kids","Sort1","Same Individual",23,0.0663810455590203,0.0353569128942641
31,"6 to 7","kids","Sort2","Different Individuals",23,0.113473777143334,0.0457842496604515
31,"adults","adults","Sort1","Same Individual",40,0.179807397644797,0.0270601096530439
31,"adults","adults","Sort2","Different Individuals",40,0.217846871541001,0.0314379482215675
32,"3 to 4","kids","Sort1","Same Individual",21,0.00646896156872289,0.0275108898002509
32,"3 to 4","kids","Sort2","Different Individuals",21,0.0190059963750073,0.0435374735303181
32,"4 to 5","kids","Sort1","Same Individual",34,-0.000532985428303163,0.041616492833492
32,"4 to 5","kids","Sort2","Different Individuals",33,-0.000233662588289044,0.0408413209941712
32,"5 to 6","kids","Sort1","Same Individual",28,0.0736097729599901,0.03771807500512
32,"5 to 6","kids","Sort2","Different Individuals",28,0.0498441129180847,0.0417075180180064
32,"6 to 7","kids","Sort1","Same Individual",23,0.0980613831865227,0.0415390347196785
32,"6 to 7","kids","Sort2","Different Individuals",23,0.166991353086493,0.0538469126374345
32,"adults","adults","Sort1","Same Individual",40,0.166799162717753,0.0297323013495912
32,"adults","adults","Sort2","Different Individuals",40,0.213977543552379,0.04244201919556
33,"3 to 4","kids","Sort1","Same Individual",21,-0.000720952315339457,0.0490338660073433
33,"3 to 4","kids","Sort2","Different Individuals",21,-0.00567789168112172,0.046586551274667
33,"4 to 5","kids","Sort1","Same Individual",34,0.0220193137435368,0.038921167474541
33,"4 to 5","kids","Sort2","Different Individuals",33,0.00989000522000683,0.0329798931395575
33,"5 to 6","kids","Sort1","Same Individual",28,0.0676306896273232,0.0463628508530909
