"participant","seed","sort","image","final_img_pos","posX","posY","subject","subjCode","Age","Gender","age_bin","age_group","image_cat","image_tax_cat","mouth","actor_gender"
"180",180,"Sort2","F17calm_o","[ 644.   75.]",644,75,"p180",180,5.666666667,"F","5 to 6","kids","calm","calm","o","F"
"180",180,"Sort2","M03calm_c","[-71.  75.]",-71,75,"p180",180,5.666666667,"F","5 to 6","kids","calm","calm","c","M"
"180",180,"Sort2","F04ang_o","[-357.  373.]",-357,373,"p180",180,5.666666667,"F","5 to 6","kids","ang","ang","o","F"
"180",180,"Sort2","M15surp_o","[ 358. -372.]",358,-372,"p180",180,5.666666667,"F","5 to 6","kids","surp","surp","o","M"
"180",180,"Sort2","F01fear_c","[-214.   75.]",-214,75,"p180",180,5.666666667,"F","5 to 6","kids","fear","fear","c","F"
"180",180,"Sort2","F14surp_c","[ 501. -372.]",501,-372,"p180",180,5.666666667,"F","5 to 6","kids","surp","surp","c","F"
"180",180,"Sort2","M14neut_o","[  72. -223.]",72,-223,"p180",180,5.666666667,"F","5 to 6","kids","neut","neut","o","M"
"180",180,"Sort2","F22sad_c","[ 215. -223.]",215,-223,"p180",180,5.666666667,"F","5 to 6","kids","sad","sad","c","F"
"180",180,"Sort2","F07neut_c","[-357.   75.]",-357,75,"p180",180,5.666666667,"F","5 to 6","kids","neut","neut","c","F"
"181",181,"Practice","car","[ 644.  373.]",644,373,"p181",181,5.5,"M","5 to 6","kids","car","vehicle","car","car"
"181",181,"Practice","squirrel","[-643.  373.]",-643,373,"p181",181,5.5,"M","5 to 6","kids","squirrel","animal","squirrel","squirrel"
"181",181,"Practice","table","[-214. -372.]",-214,-372,"p181",181,5.5,"M","5 to 6","kids","table","furniture","table","table"
"181",181,"Practice","bus","[ 644.  224.]",644,224,"p181",181,5.5,"M","5 to 6","kids","bus","vehicle","bus","bus"
"181",181,"Practice","bird","[  72.  373.]",72,373,"p181",181,5.5,"M","5 to 6","kids","bird","animal","bird","bird"
"181",181,"Sort1","M07disg_o","[ 644.  373.]",644,373,"p181",181,5.5,"M","5 to 6","kids","disg","disg","o","M"
"181",181,"Sort1","M07fear_c","[-643.  373.]",-643,373,"p181",181,5.5,"M","5 to 6","kids","fear","fear","c","M"
"181",181,"Sort1","M07ang_c","[-214.   75.]",-214,75,"p181",181,5.5,"M","5 to 6","kids","ang","ang","c","M"
"181",181,"Sort1","M07calm_o","[ 501.   75.]",501,75,"p181",181,5.5,"M","5 to 6","kids","calm","calm","o","M"
"181",181,"Sort1","M07sad_c","[-214.  -74.]",-214,-74,"p181",181,5.5,"M","5 to 6","kids","sad","sad","c","M"
"181",181,"Sort1","M07exc_o","[ -71.  373.]",-71,373,"p181",181,5.5,"M","5 to 6","kids","exc","exc","o","M"
"181",181,"Sort1","M07ang_o","[ 644.  224.]",644,224,"p181",181,5.5,"M","5 to 6","kids","ang","ang","o","M"
"181",181,"Sort1","M07calm_c","[ -71.  224.]",-71,224,"p181",181,5.5,"M","5 to 6","kids","calm","calm","c","M"
"181",181,"Sort1","M07sad_o","[ 644.   75.]",644,75,"p181",181,5.5,"M","5 to 6","kids","sad","sad","o","M"
"181",181,"Sort1","M07neut_o","[-643.  224.]",-643,224,"p181",181,5.5,"M","5 to 6","kids","neut","neut","o","M"
"181",181,"Sort1","M07exc_c","[-214. -223.]",-214,-223,"p181",181,5.5,"M","5 to 6","kids","exc","exc","c","M"
"181",181,"Sort1","M07surp_o","[ 358.  373.]",358,373,"p181",181,5.5,"M","5 to 6","kids","surp","surp","o","M"
"181",181,"Sort1","M07hap_o","[ 215. -372.]",215,-372,"p181",181,5.5,"M","5 to 6","kids","hap","hap","o","M"
"181",181,"Sort1","M07disg_c","[-214. -372.]",-214,-372,"p181",181,5.5,"M","5 to 6","kids","disg","disg","c","M"
"181",181,"Sort1","M07hap_c","[-71. -74.]",-71,-74,"p181",181,5.5,"M","5 to 6","kids","hap","hap","c","M"
"181",181,"Sort1","M07surp_c","[ -71. -372.]",-71,-372,"p181",181,5.5,"M","5 to 6","kids","surp","surp","c","M"
"181",181,"Sort1","M07neut_c","[ 501. -223.]",501,-223,"p181",181,5.5,"M","5 to 6","kids","neut","neut","c","M"
"181",181,"Sort1","M07fear_o","[ 358. -372.]",358,-372,"p181",181,5.5,"M","5 to 6","kids","fear","fear","o","M"
"181",181,"Sort2","M12hap_o","[ 644.  373.]",644,373,"p181",181,5.5,"M","5 to 6","kids","hap","hap","o","M"
"181",181,"Sort2","M02ang_c","[-643.  373.]",-643,373,"p181",181,5.5,"M","5 to 6","kids","ang","ang","c","M"
"181",181,"Sort2","F17calm_o","[ -71. -372.]",-71,-372,"p181",181,5.5,"M","5 to 6","kids","calm","calm","o","F"
"181",181,"Sort2","M14neut_o","[-214.  373.]",-214,373,"p181",181,5.5,"M","5 to 6","kids","neut","neut","o","M"
"181",181,"Sort2","F22sad_c","[-643.  224.]",-643,224,"p181",181,5.5,"M","5 to 6","kids","sad","sad","c","F"
"181",181,"Sort2","M03calm_c","[-357.  -74.]",-357,-74,"p181",181,5.5,"M","5 to 6","kids","calm","calm","c","M"
"181",181,"Sort2","F04ang_o","[ 215.  224.]",215,224,"p181",181,5.5,"M","5 to 6","kids","ang","ang","o","F"
"181",181,"Sort2","F15hap_c","[ 644. -372.]",644,-372,"p181",181,5.5,"M","5 to 6","kids","hap","hap","c","F"
"181",181,"Sort2","M17sad_o","[-357.   75.]",-357,75,"p181",181,5.5,"M","5 to 6","kids","sad","sad","o","M"
"181",181,"Sort2","F01fear_c","[ 501.  -74.]",501,-74,"p181",181,5.5,"M","5 to 6","kids","fear","fear","c","F"
"181",181,"Sort2","F10disg_o","[ 644.  224.]",644,224,"p181",181,5.5,"M","5 to 6","kids","disg","disg","o","F"
"181",181,"Sort2","M15surp_o","[ 644.   75.]",644,75,"p181",181,5.5,"M","5 to 6","kids","surp","surp","o","M"
"181",181,"Sort2","M04disg_c","[ 215. -372.]",215,-372,"p181",181,5.5,"M","5 to 6","kids","disg","disg","c","M"
"181",181,"Sort2","F07neut_c","[ 358. -372.]",358,-372,"p181",181,5.5,"M","5 to 6","kids","neut","neut","c","F"
"181",181,"Sort2","M05exc_c","[-643. -223.]",-643,-223,"p181",181,5.5,"M","5 to 6","kids","exc","exc","c","M"
"181",181,"Sort2","M08fear_o","[-643.   75.]",-643,75,"p181",181,5.5,"M","5 to 6","kids","fear","fear","o","M"
